clutch_code,clutch_date,mount_id,mom_genotype_text,dad_genotype_text,mom_genotype_code,dad_genotype_code,additional_plasmids_raw,additional_rnas_raw,additional_proteins_raw,additional_dyes_raw,imaged_locations_raw,data_location,notes
LG_CLUTCH_20250314_nan,2025-03-14,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),,,nan,phiC,nan,nan,"spinal_cord, skin, muscle",U:\Data\20240911_Korra_Foundation\20250313_mSG_skittles\fish3_24hpf,nan
LG_CLUTCH_20250314_nan,2025-03-14,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),,,nan,phiC,nan,nan,"spinal_cord, skin, muscle",U:\Data\20240911_Korra_Foundation\20250313_mSG_skittles\fish4_24hpf,nan
LG_CLUTCH_20250314_nan,2025-03-14,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"eye, brain",U:\Data\20240911_Korra_Foundation\20250314_mem_histone\fish1_24hpf,nan
LG_CLUTCH_20250314_nan,2025-03-14,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"eye, brain",U:\Data\20240911_Korra_Foundation\20250314_mem_histone\fish2_24hpf,nan
LG_CLUTCH_20250317_nan,2025-03-17,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"skin, muscle",U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish1_72hpf,nan
LG_CLUTCH_20250317_nan,2025-03-17,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"skin, muscle",U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish2_72hpf,nan
LG_CLUTCH_20250318_nan,2025-03-18,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"skin, muscle",U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish3_96hpf,nan
LG_CLUTCH_20250318_nan,2025-03-18,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,,,nan,mScarlet3-S2:H2B,nan,nan,"eye, brain",U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish4_24hpf,nan
LG_CLUTCH_20250318_nan,2025-03-18,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,,,nan,mScarlet3-S2:H2B,nan,nan,nan,nan,nan
LG_CLUTCH_20250319_nan,2025-03-19,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,,,nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle, tail",U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish5_48hpf,nan
LG_CLUTCH_20250319_nan,2025-03-19,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,,,nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle, tail",U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish6_48hpf,nan
LG_CLUTCH_20250320_nan,2025-03-20,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,,,nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle, tail",U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish7_48hpf,nan
LG_CLUTCH_20250320_nan,2025-03-20,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,,,nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle, tail",U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish8_48hpf,nan
LG_CLUTCH_20250321_nan,2025-03-21,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,,,nan,mScarlet3-S2:H2B,nan,nan,nan,nan,nan
LG_CLUTCH_20250321_nan,2025-03-21,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,,,nan,mScarlet3-S2:H2B,nan,nan,nan,nan,nan
LG_CLUTCH_20250321_nan,2025-03-21,nan,casper/rnf,ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),,,nan,phiC,nan,nan,skittles test (6 fish tested),U:\Data\20240911_Korra_Foundation\20250321_skittle\,nan
LG_CLUTCH_20250324_nan,2025-03-24,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle, hindbrain",U:\Data\20240911_Korra_Foundation\20250324_mem_histone\fish1_72hpf,nan
LG_CLUTCH_20250324_nan,2025-03-24,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"skin, muscle, neuromast",U:\Data\20240911_Korra_Foundation\20250324_mem_histone\fish2_72hpf,nan
LG_CLUTCH_20250325_nan,2025-03-25,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"hindbrain, brain, skin, spinal_cord, muscle",U:\Data\20240911_Korra_Foundation\20250324_mem_histone\fish3_24hpf,nan
