plate_code,slot_code,legacy_fish_label,fish_code,imaging_nickname,timepoint,notes
korra,fish7_roi,fish7_roi,,,,
korra,fish7_roi1,fish7_roi1,,,,
korra,fish7_roi2,fish7_roi2,,,,
korra,fish7_roi3,fish7_roi3,,,,
korra,fish7_roi4,fish7_roi4,,,,
korra,fish8,fish8,,,,
korra,fish8_72hpf_mem_mito_msc3_er_halo,fish8_72hpf_mem_mito_msc3_er_halo,,,,
korra,fish8_roi1,fish8_roi1,,,,
korra,fish8_roi2,fish8_roi2,,,,
korra,fish8_roi3,fish8_roi3,,,,
korra,fish8_roi4,fish8_roi4,,,,
korra,fish9,fish9,,,,
korra,fish9_roi1,fish9_roi1,,,,
korra,fish9_roi2,fish9_roi2,,,,
korra,fish9_roi3,fish9_roi3,,,,
