date_experiment,fish,roi_rel,roi_name,roi_tiffs,roi_dir,dataset,run_key,mount_key,date_mount,date_mount_yyyymmdd,plate_id_filled,slot_id_filled,roi_index_within_slot,roi_code
20250722_mem-halo_er-mSG,fish1_24hpf_roi1,fish1_24hpf_roi1,fish1_24hpf_roi1,33,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi1,aang,Aang_Foundation/20250722_mem-halo_er-mSG,fish1_24hpf_roi1,,,,,,
20250722_mem-halo_er-mSG,fish1_24hpf_roi2,fish1_24hpf_roi2,fish1_24hpf_roi2,109,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi2,aang,Aang_Foundation/20250722_mem-halo_er-mSG,fish1_24hpf_roi2,,,,,,
20250722_mem-halo_er-mSG,fish1_24hpf_roi3,fish1_24hpf_roi3,fish1_24hpf_roi3,37,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi3,aang,Aang_Foundation/20250722_mem-halo_er-mSG,fish1_24hpf_roi3,,,,,,
20250722_mem-halo_er-mSG,fish1_24hpf_roi4,fish1_24hpf_roi4,fish1_24hpf_roi4,140,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi4,aang,Aang_Foundation/20250722_mem-halo_er-mSG,fish1_24hpf_roi4,,,,,,
20250722_mem-halo_er-mSG,fish1_24hpf_roi5,fish1_24hpf_roi5,fish1_24hpf_roi5,37,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi5,aang,Aang_Foundation/20250722_mem-halo_er-mSG,fish1_24hpf_roi5,,,,,,
20250722_mem-halo_er-mSG,fish2_24hpf_roi1,fish2_24hpf_roi1,fish2_24hpf_roi1,109,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish2_24hpf_roi1,aang,Aang_Foundation/20250722_mem-halo_er-mSG,fish2_24hpf_roi1,,,,,,
20250722_mem-halo_er-mSG,fish2_24hpf_roi2,fish2_24hpf_roi2,fish2_24hpf_roi2,105,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish2_24hpf_roi2,aang,Aang_Foundation/20250722_mem-halo_er-mSG,fish2_24hpf_roi2,,,,,,
20250722_mem-halo_er-mSG,fish2_24hpf_roi3,fish2_24hpf_roi3,fish2_24hpf_roi3,105,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish2_24hpf_roi3,aang,Aang_Foundation/20250722_mem-halo_er-mSG,fish2_24hpf_roi3,,,,,,
20250722_mem-halo_er-mSG,fish2_24hpf_roi4,fish2_24hpf_roi4,fish2_24hpf_roi4,35,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish2_24hpf_roi4,aang,Aang_Foundation/20250722_mem-halo_er-mSG,fish2_24hpf_roi4,,,,,,
20250722_mrna_mito-mSG_mem-mChilada,fish1_roi1,fish1_roi1,fish1_roi1,40,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish1_roi1,aang,Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada,fish1_roi1,,,,,,
20250722_mrna_mito-mSG_mem-mChilada,fish1_roi2,fish1_roi2,fish1_roi2,65,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish1_roi2,aang,Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada,fish1_roi2,,,,,,
20250722_mrna_mito-mSG_mem-mChilada,fish1_roi3,fish1_roi3,fish1_roi3,61,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish1_roi3,aang,Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada,fish1_roi3,,,,,,
20250722_mrna_mito-mSG_mem-mChilada,fish2_48hpf_roi1,fish2_48hpf_roi1,fish2_48hpf_roi1,56,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish2_48hpf_roi1,aang,Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada,fish2_48hpf_roi1,,,,,,
20250722_mrna_mito-mSG_mem-mChilada,fish2_48hpf_roi2,fish2_48hpf_roi2,fish2_48hpf_roi2,70,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish2_48hpf_roi2,aang,Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada,fish2_48hpf_roi2,,,,,,
20250722_mrna_mito-mSG_mem-mChilada,fish2_48hpf_roi3,fish2_48hpf_roi3,fish2_48hpf_roi3,93,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish2_48hpf_roi3,aang,Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada,fish2_48hpf_roi3,,,,,,
20250722_mrna_mito-mSG_mem-mChilada,fish2_48hpf_roi4,fish2_48hpf_roi4,fish2_48hpf_roi4,70,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish2_48hpf_roi4,aang,Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada,fish2_48hpf_roi4,,,,,,
20250722_mrna_mito-mSG_mem-mChilada,fish2_48hpf_roi5,fish2_48hpf_roi5,fish2_48hpf_roi5,72,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish2_48hpf_roi5,aang,Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada,fish2_48hpf_roi5,,,,,,
20250722_mrna_mito-mSG_mem-mChilada,fish3_48hpf_roi1,fish3_48hpf_roi1,fish3_48hpf_roi1,70,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish3_48hpf_roi1,aang,Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada,fish3_48hpf_roi1,,,,,,
20250722_mrna_mito-mSG_mem-mChilada,fish3_48hpf_roi2,fish3_48hpf_roi2,fish3_48hpf_roi2,70,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish3_48hpf_roi2,aang,Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada,fish3_48hpf_roi2,,,,,,
20250722_mrna_mito-mSG_mem-mChilada,fish3_48hpf_roi3,fish3_48hpf_roi3,fish3_48hpf_roi3,70,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish3_48hpf_roi3,aang,Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada,fish3_48hpf_roi3,,,,,,
