clutch_code,roi_code,plate_id_filled,slot_id_filled,date_born,parent_female,parent_male,roi_dir
LCL-0004,20250605-plate1-slot1-roi08,20250605-plate1,20250605-plate1-slot1,2025-06-04,Dennis (F2 of allele 318),Abe (F2 of allele 309),/clusterfs/vast/abcabc/Korra_Foundation/20250605_skittlez/fish14_roi1
LCL-0004,20250605-plate1-slot1-roi09,20250605-plate1,20250605-plate1-slot1,2025-06-04,Dennis (F2 of allele 318),Abe (F2 of allele 309),/clusterfs/vast/abcabc/Korra_Foundation/20250605_skittlez/fish1_roi1
LCL-0004,20250605-plate1-slot1-roi10,20250605-plate1,20250605-plate1-slot1,2025-06-04,Dennis (F2 of allele 318),Abe (F2 of allele 309),/clusterfs/vast/abcabc/Korra_Foundation/20250605_skittlez/fish2_roi1
LCL-0004,20250605-plate1-slot1-roi11,20250605-plate1,20250605-plate1-slot1,2025-06-04,Dennis (F2 of allele 318),Abe (F2 of allele 309),/clusterfs/vast/abcabc/Korra_Foundation/20250605_skittlez/fish2_roi12
LCL-0004,20250605-plate1-slot1-roi12,20250605-plate1,20250605-plate1-slot1,2025-06-04,Dennis (F2 of allele 318),Abe (F2 of allele 309),/clusterfs/vast/abcabc/Korra_Foundation/20250605_skittlez/fish3_roi12
LCL-0004,20250605-plate1-slot1-roi13,20250605-plate1,20250605-plate1-slot1,2025-06-04,Dennis (F2 of allele 318),Abe (F2 of allele 309),/clusterfs/vast/abcabc/Korra_Foundation/20250605_skittlez/fish3_roi2
LCL-0004,20250605-plate1-slot1-roi14,20250605-plate1,20250605-plate1-slot1,2025-06-04,Dennis (F2 of allele 318),Abe (F2 of allele 309),/clusterfs/vast/abcabc/Korra_Foundation/20250605_skittlez/fish4_roi1
LCL-0004,20250605-plate1-slot1-roi15,20250605-plate1,20250605-plate1-slot1,2025-06-04,Dennis (F2 of allele 318),Abe (F2 of allele 309),/clusterfs/vast/abcabc/Korra_Foundation/20250605_skittlez/fish5_roi1
LCL-0004,20250605-plate1-slot1-roi16,20250605-plate1,20250605-plate1-slot1,2025-06-04,Dennis (F2 of allele 318),Abe (F2 of allele 309),/clusterfs/vast/abcabc/Korra_Foundation/20250605_skittlez/fish5_roi2
LCL-0004,20250605-plate1-slot1-roi17,20250605-plate1,20250605-plate1-slot1,2025-06-04,Dennis (F2 of allele 318),Abe (F2 of allele 309),/clusterfs/vast/abcabc/Korra_Foundation/20250605_skittlez/fish6_roi1
LCL-0004,20250605-plate1-slot1-roi18,20250605-plate1,20250605-plate1-slot1,2025-06-04,Dennis (F2 of allele 318),Abe (F2 of allele 309),/clusterfs/vast/abcabc/Korra_Foundation/20250605_skittlez/fish7_roi1
LCL-0004,20250605-plate1-slot1-roi19,20250605-plate1,20250605-plate1-slot1,2025-06-04,Dennis (F2 of allele 318),Abe (F2 of allele 309),/clusterfs/vast/abcabc/Korra_Foundation/20250605_skittlez/fish8_roi1
LCL-0004,20250605-plate1-slot1-roi20,20250605-plate1,20250605-plate1-slot1,2025-06-04,Dennis (F2 of allele 318),Abe (F2 of allele 309),/clusterfs/vast/abcabc/Korra_Foundation/20250605_skittlez/fish9_roi1
LCL-0004,20250605-plate1-slot1-roi21,20250605-plate1,20250605-plate1-slot1,2025-06-04,Dennis (F2 of allele 318),Abe (F2 of allele 309),/clusterfs/vast/abcabc/Korra_Foundation/20250605_skittlez/fish9_roi2
LCL-0008,20250606-plate1-slot1-roi01,20250606-plate1,20250606-plate1-slot1,2025-06-05,Jim (F2 of allele 316),Ben (F2 of allele 310),/clusterfs/vast/abcabc/Korra_Foundation/20250606_skittlez/fish10_roi1
LCL-0008,20250606-plate1-slot1-roi02,20250606-plate1,20250606-plate1-slot1,2025-06-05,Jim (F2 of allele 316),Ben (F2 of allele 310),/clusterfs/vast/abcabc/Korra_Foundation/20250606_skittlez/fish11_roi1
LCL-0008,20250606-plate1-slot1-roi03,20250606-plate1,20250606-plate1-slot1,2025-06-05,Jim (F2 of allele 316),Ben (F2 of allele 310),/clusterfs/vast/abcabc/Korra_Foundation/20250606_skittlez/fish11_roi2
