plasmid_code,plasmid_name,plasmid_nickname,resistance,plasmid_notes,used_for_injection_plasmid,used_for_injection_rna,used_for_injection_crispr,n_fluors_per_plasmid,fluor_code,tag_code,tag_pos
pDQM062,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,Amp,Clone 3,FALSE,FALSE,FALSE,2,tdmChilada,pcna,C
pDQM063,exorh skittles 2.0 5FP,exorh skittles 2.0 5FP,Amp,"clone 1,iCodon optimized - contains exorH:GFP-AttP-mKate2-Electra2-mCitrine-mKOK-mTFP1",FALSE,FALSE,FALSE,6,GFP,,
pDQM063,exorh skittles 2.0 5FP,exorh skittles 2.0 5FP,Amp,"clone 1,iCodon optimized - contains exorH:GFP-AttP-mKate2-Electra2-mCitrine-mKOK-mTFP1",FALSE,FALSE,FALSE,6,mKate2,,
pDQM063,exorh skittles 2.0 5FP,exorh skittles 2.0 5FP,Amp,"clone 1,iCodon optimized - contains exorH:GFP-AttP-mKate2-Electra2-mCitrine-mKOK-mTFP1",FALSE,FALSE,FALSE,6,Electra2,,
pDQM063,exorh skittles 2.0 5FP,exorh skittles 2.0 5FP,Amp,"clone 1,iCodon optimized - contains exorH:GFP-AttP-mKate2-Electra2-mCitrine-mKOK-mTFP1",FALSE,FALSE,FALSE,6,mCitrine,,
pDQM063,exorh skittles 2.0 5FP,exorh skittles 2.0 5FP,Amp,"clone 1,iCodon optimized - contains exorH:GFP-AttP-mKate2-Electra2-mCitrine-mKOK-mTFP1",FALSE,FALSE,FALSE,6,mKoK,,
pDQM063,exorh skittles 2.0 5FP,exorh skittles 2.0 5FP,Amp,"clone 1,iCodon optimized - contains exorH:GFP-AttP-mKate2-Electra2-mCitrine-mKOK-mTFP1",FALSE,FALSE,FALSE,6,mTFP1,,
pDQM064,exorh skittles 2.0 5FP,exorh skittles 2.0 5FP,Amp,"clone 5, iCodon optimized - contains exorH:GFP-AttP-mKate2-Electra2-mCitrine-mKOK-mTFP1",FALSE,FALSE,FALSE,6,GFP,,
pDQM064,exorh skittles 2.0 5FP,exorh skittles 2.0 5FP,Amp,"clone 5, iCodon optimized - contains exorH:GFP-AttP-mKate2-Electra2-mCitrine-mKOK-mTFP1",FALSE,FALSE,FALSE,6,mKate2,,
pDQM064,exorh skittles 2.0 5FP,exorh skittles 2.0 5FP,Amp,"clone 5, iCodon optimized - contains exorH:GFP-AttP-mKate2-Electra2-mCitrine-mKOK-mTFP1",FALSE,FALSE,FALSE,6,Electra2,,
pDQM064,exorh skittles 2.0 5FP,exorh skittles 2.0 5FP,Amp,"clone 5, iCodon optimized - contains exorH:GFP-AttP-mKate2-Electra2-mCitrine-mKOK-mTFP1",FALSE,FALSE,FALSE,6,mCitrine,,
pDQM064,exorh skittles 2.0 5FP,exorh skittles 2.0 5FP,Amp,"clone 5, iCodon optimized - contains exorH:GFP-AttP-mKate2-Electra2-mCitrine-mKOK-mTFP1",FALSE,FALSE,FALSE,6,mKoK,,
pDQM064,exorh skittles 2.0 5FP,exorh skittles 2.0 5FP,Amp,"clone 5, iCodon optimized - contains exorH:GFP-AttP-mKate2-Electra2-mCitrine-mKOK-mTFP1",FALSE,FALSE,FALSE,6,mTFP1,,
pDQM065,tol2-ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,tol2-ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,Amp,clone 1,FALSE,FALSE,FALSE,2,tdmSG,2xLynk,N
pDQM065,tol2-ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,tol2-ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,Amp,clone 1,FALSE,FALSE,FALSE,2,tdmChilada,h2b,C
pDQM066,tol2-ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,tol2-ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,Amp,clone 2,FALSE,FALSE,FALSE,2,tdmSG,2xLynk,N
pDQM066,tol2-ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,tol2-ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,Amp,clone 2,FALSE,FALSE,FALSE,2,tdmChilada,h2b,C
pDQM067,ef1a:2xLynk-tdmSG-tPT2A-tdmYH-h2b (pCM268),ef1a:2xLynk-tdmSG-tPT2A-tdmYH-h2b (pCM268),Amp,clone 1,FALSE,FALSE,FALSE,2,tdmSG,2xLynk,N
pDQM067,ef1a:2xLynk-tdmSG-tPT2A-tdmYH-h2b (pCM268),ef1a:2xLynk-tdmSG-tPT2A-tdmYH-h2b (pCM268),Amp,clone 1,FALSE,FALSE,FALSE,2,tdmYH,h2b,C
pDQM068,ef1a:2xLynk-tdmSG,ef1a:2xLynk-tdmSG,Amp,Clone 1,FALSE,FALSE,FALSE,1,tdmSG,2xLynk,N
pDQM069,ef1a:2xLynk-tdmSG,ef1a:2xLynk-tdmSG,Amp,Clone 2,FALSE,FALSE,FALSE,1,tdmSG,2xLynk,N
pDQM070,ef1a:2xLynk-tdmSG(introns),ef1a:2xLynk-tdmSG(introns),Amp,Clone 2,FALSE,FALSE,FALSE,1,tdmSG,2xLynk,N
pDQM071,ef1a:2xLynk-tdmSG(introns),ef1a:2xLynk-tdmSG(introns),Amp,Clone 4,FALSE,FALSE,FALSE,1,tdmSG,2xLynk,N
pDQM072,ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,Amp,Clone 2,FALSE,FALSE,FALSE,2,tdmSG,2xLynk,N
pDQM072,ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,Amp,Clone 2,FALSE,FALSE,FALSE,2,tdmChilada,h2b,C
pDQM073,ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,Amp,Clone 4,FALSE,FALSE,FALSE,2,tdmSG,2xLynk,N
pDQM073,ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,Amp,Clone 4,FALSE,FALSE,FALSE,2,tdmChilada,h2b,C
pDQM074,ef1a:2xLynk-tdmSG(introns),ef1a:2xLynk-tdmSG(introns),Amp,Clone 1,FALSE,FALSE,FALSE,1,tdmSG,2xLynk,N
