date_experiment,fish_label,roi_rel,roi_name,roi_tiffs,roi_dir,dataset,experiment_name,mount_row_index_scored,date_mount,mount_id,zf_female_genotype,zf_male_genotype,additional_plasmids_injected,additional_mrnas_injected,additonal_dye_and_chemicals,data_location,female_plasmid_base_code,female_allele,male_plasmid_base_code,male_allele,additional_plasmids_plasmid_base_code,additional_mrnas_plasmid_base_code
20250521_skittles_no-membrane,fish2,roi1,roi1,60,/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish2/roi1,korra,skittles_no-membrane,153.0,5/21/25,,Dennis (F2 of allele 318),Abe (F2 of allele 309),,phiC-NLS,,X:\abcabc\Korra_Foundation\20250521_skittles_no-membrane,,381,pDQM034,309,,
20250521_skittles_no-membrane,fish2,roi2,roi2,20,/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish2/roi2,korra,skittles_no-membrane,153.0,5/21/25,,Dennis (F2 of allele 318),Abe (F2 of allele 309),,phiC-NLS,,X:\abcabc\Korra_Foundation\20250521_skittles_no-membrane,,381,pDQM034,309,,
20250521_skittles_no-membrane,fish3,roi1,roi1,25,/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish3/roi1,korra,skittles_no-membrane,153.0,5/21/25,,Dennis (F2 of allele 318),Abe (F2 of allele 309),,phiC-NLS,,X:\abcabc\Korra_Foundation\20250521_skittles_no-membrane,,381,pDQM034,309,,
20250521_skittles_no-membrane,fish4,roi1,roi1,30,/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish4/roi1,korra,skittles_no-membrane,153.0,5/21/25,,Dennis (F2 of allele 318),Abe (F2 of allele 309),,phiC-NLS,,X:\abcabc\Korra_Foundation\20250521_skittles_no-membrane,,381,pDQM034,309,,
20250521_skittles_no-membrane,fish4,roi2,roi2,30,/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish4/roi2,korra,skittles_no-membrane,153.0,5/21/25,,Dennis (F2 of allele 318),Abe (F2 of allele 309),,phiC-NLS,,X:\abcabc\Korra_Foundation\20250521_skittles_no-membrane,,381,pDQM034,309,,
20250522_skittlez,fish1,roi1,roi1,72,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish1/roi1,korra,skittlez,151.0,5/22/25,,,,,,,X:\abcabc\Korra_Foundation\20250522_skittlez,,,,,,
20250522_skittlez,fish1,roi2,roi2,72,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish1/roi2,korra,skittlez,151.0,5/22/25,,,,,,,X:\abcabc\Korra_Foundation\20250522_skittlez,,,,,,
20250522_skittlez,fish2,roi1,roi1,72,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish2/roi1,korra,skittlez,151.0,5/22/25,,,,,,,X:\abcabc\Korra_Foundation\20250522_skittlez,,,,,,
20250522_skittlez,fish2,roi2,roi2,72,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish2/roi2,korra,skittlez,151.0,5/22/25,,,,,,,X:\abcabc\Korra_Foundation\20250522_skittlez,,,,,,
20250522_skittlez,fish3,roi1,roi1,72,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish3/roi1,korra,skittlez,151.0,5/22/25,,,,,,,X:\abcabc\Korra_Foundation\20250522_skittlez,,,,,,
