roi_dir,parent_female,parent_male,genotype_pretty,genotype_base_codes,genotype_allele_codes,genotype_marker_fluor_codes,genotype_marker_tag_codes,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_marker_fluor_codes,treatment_marker_tag_codes,all_marker_fluor_codes,date_born,plate_id_filled,slot_id_filled,roi_index_within_slot,roi_code
"U:\Data\20240911_Korra_Foundation\20250410_organelle\fish4-5,, mitochondria",casper/rnf,casper/rnf,,,,,,MGCO-15,,mStayGold,LAMP1,mStayGold,2025-04-09,SYN_20250411_plate1,SYN_20250411_plate1-slot1,1,SYN_20250411_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250414_mem_histone\fish1_72hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-04-11,SYN_20250414_plate1,SYN_20250414_plate1-slot1,1,SYN_20250414_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250418_mem_histone\fish1_newLLStest,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-04-17,SYN_20250418_plate1,SYN_20250418_plate1-slot1,1,SYN_20250418_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250421_mem_histone\fish1_72hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-04-18,SYN_20250421_plate1,SYN_20250421_plate1-slot1,1,SYN_20250421_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250421_mem_histone\fish2_24hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-04-21,SYN_20250422_plate1,SYN_20250422_plate1-slot1,1,SYN_20250422_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250421_mem_histone\fish3_24hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-04-21,SYN_20250422_plate1,SYN_20250422_plate1-slot1,1,SYN_20250422_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250421_mem_histone\fish4_48hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-04-21,SYN_20250423_plate1,SYN_20250423_plate1-slot1,1,SYN_20250423_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250424_mGold2_cytosolic,casper/rnf,casper/rnf,,,,,,,,,,,2025-04-22,SYN_20250424_plate1,SYN_20250424_plate1-slot1,1,SYN_20250424_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250424_mGold2_cytosolic\141_largeFOV,casper/rnf,casper/rnf,,,,,,,,,,,2025-04-22,SYN_20250424_plate1,SYN_20250424_plate1-slot1,1,SYN_20250424_plate1-slot1-roi01
X:\abcabc\Aang_Foundation\20250722_mem-halo_er-mSG,membrane Halo,membrane Halo,Swinburne(Swinburne),Swinburne,Swinburne:Swinburne,,,,,,,,2025-07-21,SYN_20250722_plate1,SYN_20250722_plate1-slot1,1,SYN_20250722_plate1-slot1-roi01
X:\abcabc\Aang_Foundation\20250722_mrna_mito-mSG_mem-mChilada,membrane mChilada,membrane mChilada,pDQM082(315),pDQM082,pDQM082:315,tdmChilada,2xLynk,,,,,tdmChilada,2025-07-21,SYN_20250722_plate1,SYN_20250722_plate1-slot1,1,SYN_20250722_plate1-slot1-roi01
