roi_dir,mount_dir_norm,date_experiment,date_mount,fish,roi_name,roi_rel,parent_female,parent_male,genotype_base_codes,genotype_allele_codes,genotype_marker_fusion_labels,genotype_marker_localizations,genotype_marker_fluor_loc_labels,genotype_marker_fusion_loc_labels,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_marker_fusion_labels,treatment_marker_localizations,treatment_marker_fluor_loc_labels,treatment_marker_fusion_loc_labels,all_unique_organelles,all_fluor_organelles
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish2/roi1,/abcabc/Korra_Foundation/20250522_skittlez/fish2,20250522_skittlez,,fish2,roi1,roi1,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish2/roi2,/abcabc/Korra_Foundation/20250522_skittlez/fish2,20250522_skittlez,,fish2,roi2,roi2,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish3/roi1,/abcabc/Korra_Foundation/20250522_skittlez/fish3,20250522_skittlez,,fish3,roi1,roi1,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish3/roi2,/abcabc/Korra_Foundation/20250522_skittlez/fish3,20250522_skittlez,,fish3,roi2,roi2,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish3/roi3,/abcabc/Korra_Foundation/20250522_skittlez/fish3,20250522_skittlez,,fish3,roi3,roi3,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish4/roi1,/abcabc/Korra_Foundation/20250522_skittlez/fish4,20250522_skittlez,,fish4,roi1,roi1,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish4/roi2,/abcabc/Korra_Foundation/20250522_skittlez/fish4,20250522_skittlez,,fish4,roi2,roi2,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish5/roi1,/abcabc/Korra_Foundation/20250522_skittlez/fish5,20250522_skittlez,,fish5,roi1,roi1,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish6/roi1,/abcabc/Korra_Foundation/20250522_skittlez/fish6,20250522_skittlez,,fish6,roi1,roi1,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish6/roi2,/abcabc/Korra_Foundation/20250522_skittlez/fish6,20250522_skittlez,,fish6,roi2,roi2,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish7/roi1,/abcabc/Korra_Foundation/20250522_skittlez/fish7,20250522_skittlez,,fish7,roi1,roi1,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish7/roi2,/abcabc/Korra_Foundation/20250522_skittlez/fish7,20250522_skittlez,,fish7,roi2,roi2,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish7/roi3,/abcabc/Korra_Foundation/20250522_skittlez/fish7,20250522_skittlez,,fish7,roi3,roi3,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish8/roi1,/abcabc/Korra_Foundation/20250522_skittlez/fish8,20250522_skittlez,,fish8,roi1,roi1,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish8/roi2,/abcabc/Korra_Foundation/20250522_skittlez/fish8,20250522_skittlez,,fish8,roi2,roi2,,,,,,,,,,,,,,,,
