date_mount,date_mount_yyyymmdd,sheet_row_index,mount_id,Data location,mount_key,slot_index_global,plateN,slotM,plate_id_filled,slot_id_filled
2025-05-08,20250508,124,,X:\abcabc\Korra_Foundation\20250505_fish_transplant\0508_fish1_mem-mchilada_transmSG,0508_fish1_mem-mchilada_transmSG,1,1,1,20250508-plate1,20250508-plate1-slot1
2025-05-08,20250508,125,,X:\abcabc\Korra_Foundation\20250505_fish_transplant\0508_fish2_mem-mchilada_transmSG,0508_fish2_mem-mchilada_transmSG,2,1,2,20250508-plate1,20250508-plate1-slot2
2025-05-09,20250509,123,,X:\abcabc\Korra_Foundation\20250505_fish_transplant\0509_fish1_transmSG_lifeactHalo,0509_fish1_transmSG_lifeactHalo,1,1,1,20250509-plate1,20250509-plate1-slot1
2025-05-13,20250513,122,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),20250513_skittles(fish1-3),1,1,1,20250513-plate1,20250513-plate1-slot1
2025-05-14,20250514,121,,"X:\abcabc\Korra_Foundation\20250513_skittles (fish4,5)","20250513_skittles (fish4,5)",1,1,1,20250514-plate1,20250514-plate1-slot1
2025-05-15,20250515,120,,X:\abcabc\Korra_Foundation\20250513_skittles (fish12-16),20250513_skittles (fish12-16),1,1,1,20250515-plate1,20250515-plate1-slot1
2025-05-20,20250520,117,,X:\abcabc\Korra_Foundation\20250520_mem_histone\fish4,fish4,1,1,1,20250520-plate1,20250520-plate1-slot1
2025-05-20,20250520,118,,X:\abcabc\Korra_Foundation\20250520_mem_histone\fish5,fish5,2,1,2,20250520-plate1,20250520-plate1-slot2
2025-05-20,20250520,119,,X:\abcabc\Korra_Foundation\20250520_mem_histone\fish2,fish2,3,1,3,20250520-plate1,20250520-plate1-slot3
2025-05-21,20250521,115,,X:\abcabc\Korra_Foundation\20250520_mem_histone\fish2,fish2,1,1,1,20250521-plate1,20250521-plate1-slot1
2025-05-21,20250521,116,,X:\abcabc\Korra_Foundation\20250521_skittles_no-membrane,20250521_skittles_no-membrane,2,1,2,20250521-plate1,20250521-plate1-slot2
2025-05-22,20250522,114,,X:\abcabc\Korra_Foundation\20250522_skittlez,20250522_skittlez,1,1,1,20250522-plate1,20250522-plate1-slot1
2025-05-23,20250523,112,,X:\abcabc\Korra_Foundation\20250523_mem_histone\fish5,fish5,1,1,1,20250523-plate1,20250523-plate1-slot1
2025-05-23,20250523,113,,X:\abcabc\Korra_Foundation\20250523_mem_histone\fish1-4,fish1-4,2,1,2,20250523-plate1,20250523-plate1-slot2
2025-05-28,20250528,109,,X:\abcabc\Korra_Foundation\20250528_skittlez\fish1,fish1,1,1,1,20250528-plate1,20250528-plate1-slot1
2025-05-28,20250528,110,,X:\abcabc\Korra_Foundation\20250528_mem-histone\fish2,fish2,2,1,2,20250528-plate1,20250528-plate1-slot2
2025-05-28,20250528,111,,X:\abcabc\Korra_Foundation\20250528_mem-histone\fish3,fish3,3,1,3,20250528-plate1,20250528-plate1-slot3
2025-05-29,20250529,107,,X:\abcabc\Korra_Foundation\20250528_mem-histone\fish1,fish1,1,1,1,20250529-plate1,20250529-plate1-slot1
2025-05-29,20250529,108,,X:\abcabc\Korra_Foundation\20250529_skittlez,20250529_skittlez,2,1,2,20250529-plate1,20250529-plate1-slot2
2025-05-30,20250530,106,,X:\abcabc\Korra_Foundation\20250530_mem-histone\,,1,1,1,20250530-plate1,20250530-plate1-slot1
2025-06-02,20250602,105,,X:\abcabc\Korra_Foundation\20250602_mem,20250602_mem,1,1,1,20250602-plate1,20250602-plate1-slot1
2025-06-03,20250603,104,,X:\abcabc\Korra_Foundation\20250603_skittlez,20250603_skittlez,1,1,1,20250603-plate1,20250603-plate1-slot1
2025-06-05,20250605,103,,X:\abcabc\Korra_Foundation\20250605_skittlez,20250605_skittlez,1,1,1,20250605-plate1,20250605-plate1-slot1
2025-06-06,20250606,102,,X:\abcabc\Korra_Foundation\20250606_skittlez,20250606_skittlez,1,1,1,20250606-plate1,20250606-plate1-slot1
2025-06-09,20250609,101,,X:\abcabc\Korra_Foundation\20250609_mem-histone\fish11_72hpf_roi1,fish11_72hpf_roi1,1,1,1,20250609-plate1,20250609-plate1-slot1
2025-06-10,20250610,99,,X:\abcabc\Korra_Foundation\20250609_mem-histone\fish2_24hpf_roi1-2,fish2_24hpf_roi1-2,1,1,1,20250610-plate1,20250610-plate1-slot1
2025-06-10,20250610,100,,X:\abcabc\Korra_Foundation\20250609_mem-histone\fish3-6\,,2,1,2,20250610-plate1,20250610-plate1-slot2
2025-06-12,20250612,98,,X:\abcabc\Korra_Foundation\20250612_skittlez,20250612_skittlez,1,1,1,20250612-plate1,20250612-plate1-slot1
2025-06-13,20250613,97,,X:\abcabc\Korra_Foundation\20250613_skittlez,20250613_skittlez,1,1,1,20250613-plate1,20250613-plate1-slot1
2025-06-16,20250616,96,,X:\abcabc\Korra_Foundation\20250616_mem-histone\fish1,fish1,1,1,1,20250616-plate1,20250616-plate1-slot1
2025-06-17,20250617,95,,X:\abcabc\Korra_Foundation\20250616_mem-histone\fish_24hpf,fish_24hpf,1,1,1,20250617-plate1,20250617-plate1-slot1
2025-06-18,20250618,94,,X:\abcabc\Korra_Foundation\20250618_skittlez,20250618_skittlez,1,1,1,20250618-plate1,20250618-plate1-slot1
2025-06-19,20250619,93,,X:\abcabc\Korra_Foundation\20250619_skittlez,20250619_skittlez,1,1,1,20250619-plate1,20250619-plate1-slot1
2025-06-24,20250624,91,,X:\abcabc\Korra_Foundation\20250624_skittlez_Issac_x_Ken,20250624_skittlez_Issac_x_Ken,1,1,1,20250624-plate1,20250624-plate1-slot1
2025-06-24,20250624,92,,X:\abcabc\Korra_Foundation\20250624_skittlez_Chris_x_Liam,20250624_skittlez_Chris_x_Liam,2,1,2,20250624-plate1,20250624-plate1-slot2
2025-06-25,20250625,90,,X:\abcabc\Korra_Foundation\20250624_skittlez_Chris_x_Liam,20250624_skittlez_Chris_x_Liam,1,1,1,20250625-plate1,20250625-plate1-slot1
