dataset_source,clutch_code,clutch_date,genotype_cross_label,genotype_base_codes,genotype_allele_codes,genotype_pretty,genotype_marker_fluor_codes,genotype_marker_tag_codes,treat_code,treat_text,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_dye_base_codes,treatment_marker_fluor_codes,treatment_marker_tag_codes,all_marker_fluor_codes,sheet_row_index,date_born,zf_female_genotype_text,zf_male_genotype_text,date_mount,mount_id,experimental_plate_id,experimental_slot_id,data_location,roi_index,roi_name,data_path
cluster_linked,IMG_CLT_20250224_01,2025-02-24,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",255,,,,2025-02-25,,20250225-plate1,20250225-plate1-slot2,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish2_24hpf,,,
cluster_linked,IMG_CLT_20250224_01,2025-02-24,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",256,,,,2025-02-25,,20250225-plate1,20250225-plate1-slot3,,,,
cluster_linked,IMG_CLT_20250226_01,2025-02-26,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",241,,,,2025-02-28,,20250228-plate1,20250228-plate1-slot1,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish13_48hpf,,,
cluster_linked,IMG_CLT_20250226_01,2025-02-26,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",242,,,,2025-02-28,,20250228-plate1,20250228-plate1-slot2,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish14_48hpf,,,
cluster_linked,IMG_CLT_20250226_01,2025-02-26,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",243,,,,2025-02-27,,20250227-plate1,20250227-plate1-slot5,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish8_24hpf,,,
cluster_linked,IMG_CLT_20250226_01,2025-02-26,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",244,,,,2025-02-27,,20250227-plate1,20250227-plate1-slot4,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish7_24hpf,,,
cluster_linked,IMG_CLT_20250226_01,2025-02-26,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",245,,,,2025-02-27,,20250227-plate1,20250227-plate1-slot6,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish9_24hpf,,,
cluster_linked,IMG_CLT_20250226_01,2025-02-26,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",246,,,,2025-02-27,,20250227-plate1,20250227-plate1-slot1,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish10_24hpf,,,
cluster_linked,IMG_CLT_20250226_01,2025-02-26,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",247,,,,2025-02-27,,20250227-plate1,20250227-plate1-slot2,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish11_24hpf,,,
cluster_linked,IMG_CLT_20250226_01,2025-02-26,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",248,,,,2025-02-27,,20250227-plate1,20250227-plate1-slot3,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish12_24hpf,,,
