clutch_code,clutch_date,estimated_egg_count,source_system,female_genotype_text,male_genotype_text,notes,female_plasmid_base_code,female_allele,male_plasmid_base_code,male_allele,genotype_base_codes,genotype_allele_codes,genotype_pretty,genotype_cross_label,treatment_plasmids_text,treatment_rnas_text,treatment_proteins_text,treatment_dyes_text
IMG_CLT_20250606_01,2025-06-06,1,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,,mScarlet3-S2:H2B,,
IMG_CLT_20250609_01,2025-06-09,2,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,,mScarlet3-S2:H2B,,
IMG_CLT_20250611_01,2025-06-11,1,imaging_backfill,Dennis (F2 of allele 318),Abe (F2 of allele 309),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM036,318,pDQM034,309,"pDQM034,pDQM036","pDQM036:318,pDQM034:309",pDQM036(318)/pDQM034(309),pDQM034_309_318,,phiC-NLS; 2xLynk:mSG,,
IMG_CLT_20250612_01,2025-06-12,1,imaging_backfill,Jim (F2 of allele 316),Dennis (F2 of allele 318),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM059,316,pDQM036,318,"pDQM036,pDQM059","pDQM059:316,pDQM036:318",pDQM059(316)/pDQM036(318),pDQM036_316_318,,phiC-NLS; 2xLynk:mSG,this cross is very good,
IMG_CLT_20250614_01,2025-06-14,1,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,,mScarlet3-S2:H2B,,
IMG_CLT_20250616_01,2025-06-16,1,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,,mScarlet3-S2:H2B,,
IMG_CLT_20250617_01,2025-06-17,1,imaging_backfill,Ben (F2 of allele 310),Abe (F2 of allele 309),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM034,310,pDQM034,309,pDQM034,"pDQM034:310,pDQM034:309",pDQM034(310)/pDQM034(309),pDQM034_309_310,,phiC-NLS; 2xLynk:mSG,,
IMG_CLT_20250618_01,2025-06-18,1,imaging_backfill,Dennis (F2 of allele 318),Abe (F2 of allele 309),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM036,318,pDQM034,309,"pDQM034,pDQM036","pDQM036:318,pDQM034:309",pDQM036(318)/pDQM034(309),pDQM034_309_318,,phiC-NLS; 2xLynk:mSG,,
IMG_CLT_20250623_01,2025-06-23,1,imaging_backfill,Ken (F2 of allele 320),Isaac (F2 of allele 314),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM059,320,pDQM064,314,"pDQM059,pDQM064","pDQM059:320,pDQM064:314",pDQM059(320)/pDQM064(314),pDQM059_314_320,,phiC-NLS; 2xLynk:mSG,,
IMG_CLT_20250623_02,2025-06-23,1,imaging_backfill,Liam (F2 of allele 321),Chris (F1 of allele 317),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM059,321,pDQM034,317,"pDQM034,pDQM059","pDQM059:321,pDQM034:317",pDQM059(321)/pDQM034(317),pDQM034_317_321,,phiC-NLS; 2xLynk:mSG,,
IMG_CLT_20250624_01,2025-06-24,1,imaging_backfill,Ben (F2 of allele 310),Abe (F2 of allele 309),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM034,310,pDQM034,309,pDQM034,"pDQM034:310,pDQM034:309",pDQM034(310)/pDQM034(309),pDQM034_309_310,,phiC-NLS; 2xLynk:mSG,this cross is high in 514; which causes difficulty for mSG channel,
IMG_CLT_20250624_02,2025-06-24,2,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,,mScarlet3-S2:H2B,,
IMG_CLT_20250626_01,2025-06-26,1,imaging_backfill,Jim (F2 of allele 316),Ben (F2 of allele 310),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM059,316,pDQM034,310,"pDQM034,pDQM059","pDQM059:316,pDQM034:310",pDQM059(316)/pDQM034(310),pDQM034_310_316,,phiC-NLS; 2xLynk:mSG,,
IMG_CLT_20250714_01,2025-07-14,4,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,ef1a-extended:2xCox8A:mScarlet3S2; ef1a-extended:2xCox8A:Halo,ef1a-extended:Halo:sec61b; ef1a-extended:mScarlet3S2:sec61b,,JF 635
IMG_CLT_20250721_01,2025-07-21,2,imaging_backfill,membrane Halo,membrane Halo,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",Swinburne,Swinburne,Swinburne,Swinburne,Swinburne,Swinburne:Swinburne,Swinburne(Swinburne),Swinburne_Swinburne,,mSG:sec61b,,JF 635
IMG_CLT_20250721_02,2025-07-21,1,imaging_backfill,membrane mChilada,membrane mChilada,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM082,315,pDQM082,315,pDQM082,pDQM082:315,pDQM082(315),pDQM082_315,,2xCox8A:mSG,,
IMG_CLT_20250723_01,2025-07-23,1,imaging_backfill,membrane mChilada,membrane mChilada,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM082,315,pDQM082,315,pDQM082,pDQM082:315,pDQM082(315),pDQM082_315,,mSG:sec61b,,
IMG_CLT_20250726_01,2025-07-26,1,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,,tdmChilada:PCNA,,
IMG_CLT_20250731_01,2025-07-31,1,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,,tdmChilada:PCNA,,
