plate_code,slot_code,legacy_fish_label,fish_code,imaging_nickname,timepoint,notes
aang_20250924_mem_mito_mem_mito,fish3_24hpf_roi6,fish3_24hpf_roi6,FSH_LEGACY_aang_fish3_24hpf_roi6,mem-mito,,
korra_20250529_skittlez_skittlez,fish4_roi1,fish4_roi1,FSH_LEGACY_korra_fish4_roi1,skittlez,,
aang_20250819_mem_ER_mem_ER,fish1_24hpf_roi5,fish1_24hpf_roi5,FSH_LEGACY_aang_fish1_24hpf_roi5,mem_ER,,
korra_20250627_skittlez_skittlez,fish1_roi3,fish1_roi3,FSH_LEGACY_korra_fish1_roi3,skittlez,,
korra_20250513_skittles_skittles,fish12,fish12,FSH_LEGACY_korra_fish12,skittles,,
aang_20251107_mem_mito_mem_mito,fish2_24hpf_roi3,fish2_24hpf_roi3,FSH_LEGACY_aang_fish2_24hpf_roi3,mem-mito,,
korra_20250618_skittlez_skittlez,fish6_roi1,fish6_roi1,FSH_LEGACY_korra_fish6_roi1,skittlez,,
aang_20250826_mem_actin_mem_actin,fish3_24hpf_roi1,fish3_24hpf_roi1,FSH_LEGACY_aang_fish3_24hpf_roi1,mem_actin,,
aang_20251006_mem_histone_mem_histone,fish6_24hpf_roi2,fish6_24hpf_roi2,FSH_LEGACY_aang_fish6_24hpf_roi2,mem_histone,,
aang_20250722_mrna_mito_mSG_mem_mChilada_mrna_mito_mSG_mem_mChilada,fish2_48hpf_roi2,fish2_48hpf_roi2,FSH_LEGACY_aang_fish2_48hpf_roi2,mrna_mito-mSG_mem-mChilada,,
korra_20250620_mitomSG_mitomSG,fish1_roi1,fish1_roi1,FSH_LEGACY_korra_fish1_roi1,mitomSG,,
aang_20250723_er_mSG_mem_mChilada_er_mSG_mem_mChilada,fish1_24hpf_roi1,fish1_24hpf_roi1,FSH_LEGACY_aang_fish1_24hpf_roi1,er-mSG_mem-mChilada,,
aang_20250828_mem_actin_mem_actin,fish1_24hpf_roi1_2,fish1_24hpf_roi1-2,FSH_LEGACY_aang_fish1_24hpf_roi1_2,mem_actin,,
korra_20250428_mem_histone_mem_histone,fish1_72hpf,fish1_72hpf,FSH_LEGACY_korra_fish1_72hpf,mem_histone,,
korra_20250624_skittlez_Chris_x_Liam_skittlez_Chris_x_Liam,fish7_roi3,fish7_roi3,FSH_LEGACY_korra_fish7_roi3,skittlez_Chris_x_Liam,,
aang_20251001_mem_histone_mem_histone,fish5_24hpf_roi1,fish5_24hpf_roi1,FSH_LEGACY_aang_fish5_24hpf_roi1,mem-histone,,
aang_20250722_mrna_mito_mSG_mem_mChilada_mrna_mito_mSG_mem_mChilada,fish1_roi2,fish1_roi2,FSH_LEGACY_aang_fish1_roi2,mrna_mito-mSG_mem-mChilada,,
aang_20250908_mem_mito_mem_mito,fish6_24hpf_roi3,fish6_24hpf_roi3,FSH_LEGACY_aang_fish6_24hpf_roi3,mem-mito,,
aang_20250922_mem_mito_mem_mito,fish1_72hpf_roi3,fish1_72hpf_roi3,FSH_LEGACY_aang_fish1_72hpf_roi3,mem-mito,,
aang_20250918_mem_mito_mem_mito,fish3_72hpf_roi2,fish3_72hpf_roi2,FSH_LEGACY_aang_fish3_72hpf_roi2,mem-mito,,
aang_20251006_mem_histone_mem_histone,fish4_24hpf_roi1,fish4_24hpf_roi1,FSH_LEGACY_aang_fish4_24hpf_roi1,mem_histone,,
aang_20250917_mem_mito_mem_mito,fish4_48hpf_roi3,fish4_48hpf_roi3,FSH_LEGACY_aang_fish4_48hpf_roi3,mem-mito,,
korra_20251024_mem_histone_mem_histone,fish2_72hpf_roi1,fish2_72hpf_roi1,FSH_LEGACY_korra_fish2_72hpf_roi1,mem-histone,,
korra_20251015_mem_histone_mem_histone,fish3_48hpf_roi2,fish3_48hpf_roi2,FSH_LEGACY_korra_fish3_48hpf_roi2,mem-histone,,
korra_20250522_skittlez_skittlez,fish3,fish3,FSH_LEGACY_korra_fish3,skittlez,,
aang_20250924_mem_mito_mem_mito,fish3_24hpf_roi5,fish3_24hpf_roi5,FSH_LEGACY_aang_fish3_24hpf_roi5,mem-mito,,
aang_20250722_mem_halo_er_mSG_mem_halo_er_mSG,fish1_24hpf_roi4,fish1_24hpf_roi4,FSH_LEGACY_aang_fish1_24hpf_roi4,mem-halo_er-mSG,,
aang_20250819_mem_mito_mem_mito,fish1_24hpf_roi3,fish1_24hpf_roi3,FSH_LEGACY_aang_fish1_24hpf_roi3,mem_mito,,
aang_20250827_mem_actin_mem_actin,fish3_48hpf_roi2,fish3_48hpf_roi2,FSH_LEGACY_aang_fish3_48hpf_roi2,mem_actin,,
korra_20251024_mem_histone_mem_histone,fish2_72hpf_roi2,fish2_72hpf_roi2,FSH_LEGACY_korra_fish2_72hpf_roi2,mem-histone,,
korra_20250624_skittlez_Chris_x_Liam_skittlez_Chris_x_Liam,fish4_roi1,fish4_roi1,FSH_LEGACY_korra_fish4_roi1,skittlez_Chris_x_Liam,,
aang_20250915_mem_mito_mem_mito,fish1_72hpf_roi2,fish1_72hpf_roi2,FSH_LEGACY_aang_fish1_72hpf_roi2,mem-mito,,
korra_20250723_mem_halo_ER_mSG_mem_halo_ER_mSG,fish3_48hpf,fish3_48hpf,FSH_LEGACY_korra_fish3_48hpf,mem-halo_ER-mSG,,
aang_20250722_mem_halo_er_mSG_mem_halo_er_mSG,fish1_24hpf_roi2,fish1_24hpf_roi2,FSH_LEGACY_aang_fish1_24hpf_roi2,mem-halo_er-mSG,,
korra_20251016_mem_histone_mem_histone,fish2_72hpf_roi3,fish2_72hpf_roi3,FSH_LEGACY_korra_fish2_72hpf_roi3,mem-histone,,
aang_20250919_mem_mito_mem_mito,fish7_24hpf_roi4,fish7_24hpf_roi4,FSH_LEGACY_aang_fish7_24hpf_roi4,mem-mito,,
aang_20251023_mem_mito_mem_mito,fish3_24hpf_roi1,fish3_24hpf_roi1,FSH_LEGACY_aang_fish3_24hpf_roi1,mem-mito,,
aang_20250908_mem_mito_mem_mito,fish2_72hpf_roi3,fish2_72hpf_roi3,FSH_LEGACY_aang_fish2_72hpf_roi3,mem-mito,,
korra_20250618_skittlez_skittlez,fish10_roi3,fish10_roi3,FSH_LEGACY_korra_fish10_roi3,skittlez,,
aang_20250917_mem_mito_mem_mito,fish1_48hpf_roi1,fish1_48hpf_roi1,FSH_LEGACY_aang_fish1_48hpf_roi1,mem-mito,,
korra_20250530_mem_histone_mem_histone,fish1_roi1,fish1_roi1,FSH_LEGACY_korra_fish1_roi1,mem-histone,,
aang_20250912_mem_mito_mem_mito,fish3_72hpf_roi10,fish3_72hpf_roi10,FSH_LEGACY_aang_fish3_72hpf_roi10,mem-mito,,
korra_20250618_skittlez_skittlez,fish7_roi1,fish7_roi1,FSH_LEGACY_korra_fish7_roi1,skittlez,,
korra_20250606_skittlez_skittlez,fish8_roi1,fish8_roi1,FSH_LEGACY_korra_fish8_roi1,skittlez,,
korra_20251007_mem_histone_mem_histone,fish3_48hpf_roi1_test,fish3_48hpf_roi1_test,FSH_LEGACY_korra_fish3_48hpf_roi1_test,mem-histone,,
aang_20251106_mem_mito_mem_mito,fish1_48hpf_roi1,fish1_48hpf_roi1,FSH_LEGACY_aang_fish1_48hpf_roi1,mem-mito,,
korra_20251013_mem_histone_mem_histone,fish2_96hpf_roi2,fish2_96hpf_roi2,FSH_LEGACY_korra_fish2_96hpf_roi2,mem-histone,,
korra_20250606_skittlez_skittlez,fish4_roi1,fish4_roi1,FSH_LEGACY_korra_fish4_roi1,skittlez,,
aang_20251022_mem_mito_mem_mito,fish3_48hpf_roi1,fish3_48hpf_roi1,FSH_LEGACY_aang_fish3_48hpf_roi1,mem-mito,,
korra_20251020_mem_histone_mem_histone,fish1_72hpf_roi4,fish1_72hpf_roi4,FSH_LEGACY_korra_fish1_72hpf_roi4,mem-histone,,
korra_20250603_skittlez_skittlez,fish14_roi1,fish14_roi1,FSH_LEGACY_korra_fish14_roi1,skittlez,,
aang_20250819_mem_mito_mem_mito,fish4_48hpf_roi3,fish4_48hpf_roi3,FSH_LEGACY_aang_fish4_48hpf_roi3,mem_mito,,
korra_20251007_mem_histone_mem_histone,fish3_48hpf_roi2_test,fish3_48hpf_roi2_test,FSH_LEGACY_korra_fish3_48hpf_roi2_test,mem-histone,,
aang_20251013_mem_histone_mem_histone,fish3_96hpf_roi3,fish3_96hpf_roi3,FSH_LEGACY_aang_fish3_96hpf_roi3,mem-histone,,
aang_Denoising,20251029_mem_histone,20251029_mem-histone,FSH_LEGACY_aang_20251029_mem_histone,,,
aang_20251028_mem_peroxi2_mem_peroxi2,fish2_24hpf_roi1,fish2_24hpf_roi1,FSH_LEGACY_aang_fish2_24hpf_roi1,mem-peroxi2,,
aang_20250919_mem_mito_mem_mito,fish8_24hpf_roi3,fish8_24hpf_roi3,FSH_LEGACY_aang_fish8_24hpf_roi3,mem-mito,,
aang_20250904_lifeact_mSG_lifeact_mSG,fish1_24hpf_roi5,fish1_24hpf_roi5,FSH_LEGACY_aang_fish1_24hpf_roi5,lifeact-mSG,,
aang_20250919_mem_mito_mem_mito,fish8_24hpf_roi5,fish8_24hpf_roi5,FSH_LEGACY_aang_fish8_24hpf_roi5,mem-mito,,
aang_20250912_mem_mito_mem_mito,fish1_72hpf_roi3,fish1_72hpf_roi3,FSH_LEGACY_aang_fish1_72hpf_roi3,mem-mito,,
korra_20250529_skittlez_skittlez,fish1_roi2,fish1_roi2,FSH_LEGACY_korra_fish1_roi2,skittlez,,
aang_20250821_mem_mito_mem_mito,fish4_24hpf_roi2,fish4_24hpf_roi2,FSH_LEGACY_aang_fish4_24hpf_roi2,mem_mito,,
aang_20250722_mrna_mito_mSG_mem_mChilada_mrna_mito_mSG_mem_mChilada,fish3_48hpf_roi2,fish3_48hpf_roi2,FSH_LEGACY_aang_fish3_48hpf_roi2,mrna_mito-mSG_mem-mChilada,,
